FID,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape__Area,Shape__Length
368,20,41575,02395735,2041575,Little River,Little River city,25,C1,N,N,G4110,A,1010157,0,+38.3982136,-098.0149470,1647191.203125,8153.99170558067
369,20,43525,00485616,2043525,Lyons,Lyons city,25,C5,N,N,G4110,A,6697805,0,+38.3462192,-098.2044767,10906118.4257813,26318.7915457312
370,20,68200,00485654,2068200,Sterling,Sterling city,25,C5,N,N,G4110,A,4639021,109443,+38.2092932,-098.2064629,7703159.72265625,20885.3370409373
371,20,05925,02394129,2005925,Belvue,Belvue city,25,C1,N,N,G4110,A,318073,0,+39.2162970,-096.1790006,530614.078125,4010.48931999752
372,20,21100,02394690,2021100,Emmett,Emmett city,25,C1,N,N,G4110,A,506051,0,+39.3073141,-096.0576094,846374.63671875,5724.763981019
373,20,30775,02394327,2030775,Havensville,Havensville city,25,C1,N,N,G4110,A,375616,0,+39.5112281,-096.0763520,631872.62109375,3840.24099219079
374,20,42925,02395771,2042925,Louisville,Louisville city,25,C1,N,N,G4110,A,1292776,0,+39.2498650,-096.3144786,2158661.74609375,6249.88831845537
375,20,63800,02396570,2063800,Sedgwick,Sedgwick city,25,C1,N,N,G4110,A,4231291,0,+37.9180593,-097.4201641,6810179.51953125,20515.7987344749
376,20,49100,02395137,2049100,Mulvane,Mulvane city,25,C1,N,N,G4110,A,11557408,20847,+37.4764512,-097.2353654,18417293.0039063,57176.3966430564
377,20,01775,02393951,2001775,Andale,Andale city,25,C1,N,N,G4110,A,1487738,0,+37.7915057,-097.6275008,2386336.76953125,9001.47659239132
378,20,05337,00485545,2005337,Bel Aire,Bel Aire city,25,C5,N,N,G4110,A,17519511,81401,+37.7759428,-097.2465707,28219425.703125,42071.8839900493
379,20,06125,02394139,2006125,Bentley,Bentley city,25,C1,N,N,G4110,A,786120,0,+37.8867616,-097.5147116,1264174.93359375,6438.19390275711
380,20,52825,02396062,2052825,Olsburg,Olsburg city,25,C1,N,N,G4110,A,627102,472,+39.4320946,-096.6159593,1053347.6171875,7388.62662713345
